id,final_status,store_address_id,customer_id,courier_id,vertical,is_food,transport,number_of_assignments,total_real_distance,activation_time_local,last_courier_assigned_time,courier_started_order_local,courier_enters_pickup_time_local,pickup_time_local,courier_enters_delivery_point_time_local,termination_time,Count,Total Time,...20,...21,...22,...23,...24,...25
52337125,DeliveredStatus,18300,8189800,8046350,WALL - Partner,TRUE,MOTORBIKE,1,5.274,2019-07-08T16:20:55Z,2019-07-08T16:22:13Z,2019-07-08T16:22:33Z,2019-07-08T16:33:46Z,2019-07-08T16:37:56Z,2019-07-08T16:50:06Z,2019-07-08T16:52:08Z,NA,31,NA,NA,NA,NA,NA,NA
53228133,DeliveredStatus,30640,11386245,13762181,WALL - Partner,TRUE,CAR,1,6.823,2019-07-13T21:31:21Z,2019-07-13T21:59:32Z,2019-07-13T22:03:10Z,2019-07-13T22:17:28Z,2019-07-13T22:32:46Z,2019-07-13T22:39:34Z,2019-07-13T22:43:24Z,NA,12,NA,NA,NA,NA,NA,NA
52390595,DeliveredStatus,17313,2198356,16974422,WALL - Partner,TRUE,BICYCLE,2,2.219,2019-07-08T21:24:19Z,2019-07-08T21:35:31Z,2019-07-08T21:35:31Z,2019-07-08T21:50:04Z,2019-07-08T21:57:01Z,2019-07-08T22:05:34Z,2019-07-08T22:06:17Z,NA,41,NA,NA,NA,NA,NA,NA
53199962,DeliveredStatus,18300,12535717,14917849,WALL - Partner,TRUE,BICYCLE,1,3.525,2019-07-13T19:56:09Z,2019-07-13T20:00:50Z,2019-07-13T20:01:07Z,2019-07-13T19:59:02Z,2019-07-13T20:23:14Z,2019-07-13T20:31:54Z,2019-07-13T20:40:09Z,NA,44,NA,NA,NA,NA,NA,NA
52661004,DeliveredStatus,18300,2981935,14117081,WALL - Partner,TRUE,BICYCLE,1,5.008,2019-07-10T18:38:23Z,2019-07-10T18:38:31Z,2019-07-10T18:38:35Z,2019-07-10T18:38:26Z,2019-07-10T18:50:01Z,2019-07-10T19:06:51Z,2019-07-10T19:11:14Z,NA,32,NA,NA,NA,NA,NA,NA
53009545,DeliveredStatus,23517,11871195,20153483,WALL - Partner,TRUE,BICYCLE,1,3.998,2019-07-12T20:06:29Z,2019-07-12T20:10:42Z,2019-07-12T20:11:02Z,2019-07-12T20:16:05Z,2019-07-12T20:23:07Z,2019-07-12T20:37:53Z,2019-07-12T20:43:01Z,NA,36,NA,NA,NA,NA,NA,NA
52513114,DeliveredStatus,18300,17188396,6211472,WALL - Partner,TRUE,MOTORBIKE,1,3.588,2019-07-09T19:22:18Z,2019-07-09T19:23:14Z,2019-07-09T19:23:52Z,2019-07-09T19:22:34Z,2019-07-09T19:37:32Z,2019-07-09T19:47:45Z,2019-07-09T19:57:57Z,NA,35,NA,NA,NA,NA,NA,NA
53189126,DeliveredStatus,18296,12345882,18225711,WALL - Partner,TRUE,CAR,1,11.189,2019-07-13T19:07:05Z,2019-07-13T19:07:36Z,2019-07-13T19:08:12Z,2019-07-13T19:23:36Z,2019-07-13T19:33:47Z,2019-07-13T19:41:19Z,2019-07-13T19:48:50Z,NA,41,NA,NA,NA,NA,NA,NA
52310755,DeliveredStatus,30640,20312936,8728852,WALL - Partner,TRUE,MOTORBIKE,1,7.3,2019-07-08T12:32:47Z,2019-07-08T12:33:27Z,2019-07-08T12:33:50Z,2019-07-08T12:46:46Z,2019-07-08T12:52:12Z,2019-07-08T12:57:56Z,2019-07-08T12:59:57Z,NA,27,NA,NA,NA,NA,NA,NA
53224195,DeliveredStatus,85260,17439665,18225430,WALL - Partner,TRUE,BICYCLE,2,3.406,2019-07-13T21:18:58Z,2019-07-13T21:49:22Z,2019-07-13T21:52:32Z,2019-07-13T21:27:32Z,2019-07-13T22:05:51Z,2019-07-13T22:09:55Z,2019-07-13T22:15:34Z,NA,56,NA,NA,NA,NA,NA,NA
52657447,DeliveredStatus,90971,4290047,2234219,WALL - Partner,TRUE,MOTORBIKE,1,4.764,2019-07-10T18:14:32Z,2019-07-10T18:15:08Z,2019-07-10T18:15:16Z,2019-07-10T18:17:53Z,2019-07-10T18:28:37Z,2019-07-10T18:45:53Z,2019-07-10T18:48:54Z,NA,34,NA,NA,NA,NA,NA,NA
53040482,DeliveredStatus,15927,1466814,20153190,WALL - Partner,TRUE,MOTORBIKE,1,5.207,2019-07-12T21:45:30Z,2019-07-12T21:47:17Z,2019-07-12T21:51:59Z,2019-07-12T22:01:47Z,2019-07-12T22:14:30Z,2019-07-12T22:19:48Z,2019-07-12T22:22:59Z,NA,37,NA,NA,NA,NA,NA,NA
